mH_GeV  XS_pb   Scale_pos   Scale_neg   PDF_plus_alpha_s
120.00  4.276	1.1 	    -1.1 	    2.2
122.00 	4.210	1.1 	    -1.1 	    2.2
124.00 	4.144	1.1 	    -1.1 	    2.2
124.60 	4.125	1.1 	    -1.1 	    2.2
124.80 	4.118	1.1 	    -1.1 	    2.2
125.00 	4.112	1.1 	    -1.1 	    2.2
125.09 	4.109	1.1 	    -1.1 	    2.2
125.20 	4.106	1.1 	    -1.1 	    2.2
125.30 	4.102	1.1 	    -1.1 	    2.2
125.38 	4.100	1.1 	    -1.1 	    2.2
125.60 	4.093	1.1 	    -1.1 	    2.2
126.00 	4.080	1.1 	    -1.0 	    2.2
128.00 	4.018	1.1 	    -1.0 	    2.2
130.00 	3.956	1.1 	    -1.0 	    2.2
